authorName,tweetCreatedAt,tweetText
Fred Jones-West,2019-02-09 17:55:32,"Apple Expands Availability of Refurbished 2018 MacBook Air, Mac Mini to U.S. and Canada https://t.co/wViuQ0DRfA #AAPL"
HotHardware,2019-02-09 17:32:33,Longer #iPhone Upgrade Cycle Is Now One Of #Apple’s Biggest #SelfInduced Problems https://t.co/4DjrQF25Wb via… https://t.co/45AaLQL8f9
TradingView Español,2019-02-09 16:50:00,#AAPL - AAPL  - TradingView - https://t.co/YQWuY67pnQ
Precision Capital Investments Group,2019-02-09 16:31:10,i know people love aapl  - #AAPL chart https://t.co/OyWPMgRjk0
Chris Hong,2019-02-09 14:26:22,"Why does Apple #AAPL repeatedly push ""you don’t have sufficient space to backup my iPad"" notifications and suggesti… https://t.co/bnPEsAqdap"
Parth shanker Upadhyaya,2019-02-09 11:35:49,"Forex Best profits signals.💥

For Free signals, join telegram- https://t.co/FrU2cwTmN3

#TSLA #USO #BTC… https://t.co/X3AoLPJ8uH"
Stock Investor,2019-02-09 07:52:27,"Should You Buy Apple Stock in February?

https://t.co/wuUfyuxXAN

#AAPL #Apple #NASDAQ #NYSE #DowJones… https://t.co/QLM0AIgbk9"
TheExtraIncome,2019-02-09 07:10:55,"On Wednesday, 30,  we have detected new Low/High Alert limit for #AAPL of $153 / $167. #TradingRange #StockPicks Fo… https://t.co/EAXQAoxM5u"
CoinCaps.ai,2019-02-09 02:58:02,"#apple’s #iphone #woes are #over, but are #aapl #shares really out of the #woods? 
#instacryptocurrency… https://t.co/c8YltEBtHy"
SWIFT Unlock SWIFTUNLOCK.COM |#1 USA Direct Source,2019-02-09 02:15:07,"Check February 08, 2019 at 09:15PM, Still Looking for #ALPHA ? Make $10 in BitCoin https://t.co/XIwmJpZSAB #roku… https://t.co/byAG6d8clx"
Parichay Sidana,2019-02-09 01:09:00,"Forex Best profits signals.

For Free signals, join telegram- https://t.co/zSPsEcn0uC

#USO #TSLA #AMZN #CRON #AAPL… https://t.co/vVz3TWqfTy"
Griffin Mohsen,2019-02-09 00:42:22,"Forex Best profits signals.💥

For more info, Join Telegram- https://t.co/57gJJ2acqI

#FB #AMZN #forex #forexsignals… https://t.co/JZtmZLd4Nw"
FOREX Sara,2019-02-09 00:28:01,"Forex Best profits signals.

Don't miss your chance, join telegram- https://t.co/kevv7iTLxh

#USO #AAPL #FB #forex… https://t.co/8tLCAtmhbs"
Himani chopra,2019-02-09 00:08:20,"Forex Best profits signals.🔥

For Free signals, join telegram- https://t.co/rydHCeCrJ0

#forexsignals #USO #TRX… https://t.co/utPnHV0pUJ"
Apple Stock Bot,2019-02-08 22:01:22,"Apple Inc price at close, 2019-02-08, is 170.41. #apple #AAPL"
Tradelogsite,2019-02-08 21:02:49,"#AAPL
Open: 168.99
Close: 170.21
Daily Range: 168.42 - 170.66
Earnings date: Apr 29, 2019 - May 3, 2019"
Fred Jones-West,2019-02-08 20:15:31,Apple Reportedly Advised Technicians to Push iPhone Upgrades to Customers With Out-of-Warranty Devices https://t.co/imwwqJECiD #AAPL
ElliottWaves,2019-02-08 19:43:45,All 78 instruments 1 hour charts are updated for members viewing https://t.co/x2kmaKA6Ui    #Indices #Stocks #ETF's… https://t.co/x2FJVcQ5PR
ElliottWaves,2019-02-08 19:42:13,Group 2 instruments  1 hour charts  are updated  for members viewing #ElliottWave #ES_F #NQ_F #TF_F #AAPL #PA_F… https://t.co/MYMCUxqoB6
Alcuin Bramerton,2019-02-08 19:41:14,#USA #media: #Amazon founder #JeffBezos claims he is the victim of #extortion &amp; #blackmail by #NationalEnquirer.… https://t.co/e1clKFwZ72
Fred Jones-West,2019-02-08 19:10:13,MacRumors Giveaway: Win a Jackery Portable Power Station Explorer 240 https://t.co/qRaxdBHTfi #AAPL
Fred Jones-West,2019-02-08 18:55:19,Deals Spotlight: AT&amp;T Discounting Apple's Silicone and Leather iPhone Cases to Just $5 https://t.co/lLMuaydJm1 #AAPL
ElliottWaves,2019-02-08 17:55:16,Group 3 #Stocks &amp; #ETF's   1 hour charts are updated  for members viewing #ElliottWave #BTC #AAPL #XOM #BAC #AMZN… https://t.co/KONCNh2AlW
Fred Jones-West,2019-02-08 17:17:43,Apple Begins Selling Refurbished 2018 MacBook Air and Mac Mini Starting in UK https://t.co/1LLVoKAEki #AAPL
John Taylor,2019-02-08 17:09:48,"RT @altcoingazette: USA Technologies (USAT) $3.40 -$3.49 (-50.65%) oversold @$3.37?
https://t.co/RLYK6Fifkw … … … … … … … … …
@altcoingazet…"
John Taylor,2019-02-08 17:06:56,"Dow Jones posed for a 50%-60% crash soon? Crash by Feb 19 2019? 
https://t.co/RLYK6Fifkw … … … … … … … … …… https://t.co/ABpaZhmMi5"
Alcuin Bramerton,2019-02-08 16:06:04,"#UK: Fourteen-year-old Molly Russell killed herself in 2017. Her father, Ian Russell, blamed the #algorithms used b… https://t.co/bBeP4ZH6I0"
A. M.,2019-02-08 15:49:51,Twitter #TWTR may test mid $25s before recovery. Looks like it's following #Apple #AAPL in the last few months.… https://t.co/XrSOV9vy1F
