Date,authorName,tweetText
2019-02-10 00:52:15,SPXpoints,"AAPL needs to break 171. If can, 171, 174, 175, 177, 179, 183. #aapl #applestock Education only!"
2019-02-09 21:01:10,Fred Jones-West,Apple Sued Over Not Letting Customers Disable Two-Factor Authentication After Two Weeks https://t.co/KUgbvLGy9N #AAPL
2019-02-09 17:55:32,Fred Jones-West,"Apple Expands Availability of Refurbished 2018 MacBook Air, Mac Mini to U.S. and Canada https://t.co/wViuQ0DRfA #AAPL"
2019-02-09 17:32:33,HotHardware,Longer #iPhone Upgrade Cycle Is Now One Of #Apple’s Biggest #SelfInduced Problems https://t.co/4DjrQF25Wb via… https://t.co/45AaLQL8f9
2019-02-09 16:50:00,TradingView Español,#AAPL - AAPL  - TradingView - https://t.co/YQWuY67pnQ
2019-02-09 16:31:10,Precision Capital Investments Group,i know people love aapl  - #AAPL chart https://t.co/OyWPMgRjk0
2019-02-09 14:26:22,Chris Hong,"Why does Apple #AAPL repeatedly push ""you don’t have sufficient space to backup my iPad"" notifications and suggesti… https://t.co/bnPEsAqdap"
2019-02-09 11:35:49,Parth shanker Upadhyaya,"Forex Best profits signals.💥

For Free signals, join telegram- https://t.co/FrU2cwTmN3

#TSLA #USO #BTC… https://t.co/X3AoLPJ8uH"
2019-02-09 07:52:27,Stock Investor,"Should You Buy Apple Stock in February?

https://t.co/wuUfyuxXAN

#AAPL #Apple #NASDAQ #NYSE #DowJones… https://t.co/QLM0AIgbk9"
2019-02-09 07:10:55,TheExtraIncome,"On Wednesday, 30,  we have detected new Low/High Alert limit for #AAPL of $153 / $167. #TradingRange #StockPicks Fo… https://t.co/EAXQAoxM5u"
2019-02-09 02:58:02,CoinCaps.ai,"#apple’s #iphone #woes are #over, but are #aapl #shares really out of the #woods? 
#instacryptocurrency… https://t.co/c8YltEBtHy"
2019-02-09 02:15:07,SWIFT Unlock SWIFTUNLOCK.COM |#1 USA Direct Source,"Check February 08, 2019 at 09:15PM, Still Looking for #ALPHA ? Make $10 in BitCoin https://t.co/XIwmJpZSAB #roku… https://t.co/byAG6d8clx"
2019-02-09 01:09:00,Parichay Sidana,"Forex Best profits signals.

For Free signals, join telegram- https://t.co/zSPsEcn0uC

#USO #TSLA #AMZN #CRON #AAPL… https://t.co/vVz3TWqfTy"
2019-02-09 00:42:22,Griffin Mohsen,"Forex Best profits signals.💥

For more info, Join Telegram- https://t.co/57gJJ2acqI

#FB #AMZN #forex #forexsignals… https://t.co/JZtmZLd4Nw"
2019-02-09 00:28:01,FOREX Sara,"Forex Best profits signals.

Don't miss your chance, join telegram- https://t.co/kevv7iTLxh

#USO #AAPL #FB #forex… https://t.co/8tLCAtmhbs"
2019-02-09 00:08:20,Himani chopra,"Forex Best profits signals.🔥

For Free signals, join telegram- https://t.co/rydHCeCrJ0

#forexsignals #USO #TRX… https://t.co/utPnHV0pUJ"
2019-02-08 22:01:22,Apple Stock Bot,"Apple Inc price at close, 2019-02-08, is 170.41. #apple #AAPL"
2019-02-08 21:02:49,Tradelogsite,"#AAPL
Open: 168.99
Close: 170.21
Daily Range: 168.42 - 170.66
Earnings date: Apr 29, 2019 - May 3, 2019"
2019-02-08 20:15:31,Fred Jones-West,Apple Reportedly Advised Technicians to Push iPhone Upgrades to Customers With Out-of-Warranty Devices https://t.co/imwwqJECiD #AAPL
2019-02-08 19:43:45,ElliottWaves,All 78 instruments 1 hour charts are updated for members viewing https://t.co/x2kmaKA6Ui    #Indices #Stocks #ETF's… https://t.co/x2FJVcQ5PR
2019-02-08 19:42:13,ElliottWaves,Group 2 instruments  1 hour charts  are updated  for members viewing #ElliottWave #ES_F #NQ_F #TF_F #AAPL #PA_F… https://t.co/MYMCUxqoB6
2019-02-08 19:41:14,Alcuin Bramerton,#USA #media: #Amazon founder #JeffBezos claims he is the victim of #extortion &amp; #blackmail by #NationalEnquirer.… https://t.co/e1clKFwZ72
2019-02-08 19:10:13,Fred Jones-West,MacRumors Giveaway: Win a Jackery Portable Power Station Explorer 240 https://t.co/qRaxdBHTfi #AAPL
2019-02-08 18:55:19,Fred Jones-West,Deals Spotlight: AT&amp;T Discounting Apple's Silicone and Leather iPhone Cases to Just $5 https://t.co/lLMuaydJm1 #AAPL
