Date,Open,High,Low,Close*,Adj Close**,Volume
2019-02-08,168.99,170.66,168.42,170.41,170.41,"23,802,100"
2019-02-07,172.40,173.94,170.34,170.94,170.21,"31,741,700"
2019-02-06,174.65,175.57,172.85,174.24,173.50,"28,239,600"
2019-02-05,172.86,175.08,172.35,174.18,173.44,"36,101,600"
2019-02-04,167.41,171.66,167.28,171.25,170.52,"31,495,500"
2019-02-01,166.96,168.98,165.93,166.52,165.81,"32,668,100"
2019-01-31,166.11,169.00,164.56,166.44,165.73,"40,739,600"
2019-01-30,163.25,166.15,160.23,165.25,164.54,"61,109,800"
2019-01-29,156.25,158.13,154.11,154.68,154.02,"41,587,200"
2019-01-28,155.79,156.33,153.66,156.30,155.63,"26,192,100"
2019-01-25,155.48,158.13,154.32,157.76,157.09,"33,535,500"
2019-01-24,154.11,154.48,151.74,152.70,152.05,"25,441,500"
2019-01-23,154.15,155.14,151.70,153.92,153.26,"23,130,600"
2019-01-22,156.41,156.73,152.62,153.30,152.65,"30,394,000"
2019-01-18,157.50,157.88,155.98,156.82,156.15,"33,751,000"
2019-01-17,154.20,157.66,153.26,155.86,155.19,"29,821,200"
2019-01-16,153.08,155.88,153.00,154.94,154.28,"30,569,700"
2019-01-15,150.27,153.39,150.05,153.07,152.42,"28,710,900"
2019-01-14,150.85,151.27,149.22,150.00,149.36,"32,439,200"
2019-01-11,152.88,153.70,151.51,152.29,151.64,"27,023,200"
2019-01-10,152.50,153.97,150.86,153.80,153.14,"35,780,700"
2019-01-09,151.29,154.53,149.63,153.31,152.66,"45,099,100"
2019-01-08,149.56,151.82,148.52,150.75,150.11,"41,025,300"
2019-01-07,148.70,148.83,145.90,147.93,147.30,"54,777,800"
2019-01-04,144.53,148.55,143.80,148.26,147.63,"58,607,100"
2019-01-03,143.98,145.72,142.00,142.19,141.58,"91,312,200"
2019-01-02,154.89,158.85,154.23,157.92,157.25,"37,039,700"
2018-12-31,158.53,159.36,156.48,157.74,157.07,"35,003,500"
2018-12-28,157.50,158.52,154.55,156.23,155.56,"42,291,400"
2018-12-27,155.84,156.77,150.07,156.15,155.48,"53,117,100"
2018-12-26,148.30,157.23,146.72,157.17,156.50,"58,582,500"
2018-12-24,148.15,151.55,146.59,146.83,146.20,"37,169,200"
2018-12-21,156.86,158.16,149.63,150.73,150.09,"95,744,600"
2018-12-20,160.40,162.11,155.30,156.83,156.16,"64,773,000"
2018-12-19,166.00,167.45,159.09,160.89,160.20,"49,047,300"
2018-12-18,165.38,167.53,164.39,166.07,165.36,"33,841,500"
2018-12-17,165.45,168.35,162.73,163.94,163.24,"44,287,900"
2018-12-14,169.00,169.08,165.28,165.48,164.77,"40,703,700"
2018-12-13,170.49,172.57,169.55,170.95,170.22,"31,898,600"
2018-12-12,170.40,171.92,169.02,169.10,168.38,"35,627,700"
2018-12-11,171.66,171.79,167.00,168.63,167.91,"47,281,700"
2018-12-10,165.00,170.09,163.33,169.60,168.88,"62,026,000"
2018-12-07,173.49,174.49,168.30,168.49,167.77,"42,281,600"
2018-12-06,171.76,174.78,170.42,174.72,173.97,"43,098,400"
2018-12-04,180.95,182.39,176.27,176.69,175.94,"41,344,300"
