Dates,BEST_TARGET_PRICE,PX_LAST
#NAME?,86.319,79.0186
1/3/2014,86.319,77.2829
1/6/2014,86.426,77.7043
1/7/2014,86.426,77.1482
1/8/2014,#N/A N/A,77.6371
1/9/2014,86.426,76.6456
1/10/2014,86.426,76.1343
1/13/2014,86.426,76.5329
1/14/2014,86.426,78.0557
1/15/2014,86.41,79.6229
1/16/2014,#N/A N/A,79.1786
1/17/2014,86.41,77.2386
1/20/2014,86.41,#N/A N/A
1/21/2014,86.887,78.4386
1/22/2014,87.036,78.7871
1/23/2014,87.036,79.4543
1/24/2014,87.036,78.01
1/27/2014,86.829,78.6429
1/28/2014,85.13,72.3571
1/29/2014,84.783,71.5357
1/30/2014,84.676,71.3974
1/31/2014,84.676,71.5143
2/3/2014,84.676,71.6471
2/4/2014,84.676,72.6843
2/5/2014,#N/A N/A,73.2271
2/6/2014,84.676,73.2157
2/7/2014,84.676,74.24
2/10/2014,84.713,75.57
2/11/2014,84.713,76.5657
2/12/2014,84.713,76.56
2/13/2014,84.713,77.7757
2/14/2014,84.758,77.7129
2/18/2014,84.758,77.9986
2/19/2014,#N/A N/A,76.7671
2/20/2014,84.758,75.8786
2/21/2014,84.758,75.0357
2/24/2014,84.758,75.3643
2/25/2014,84.758,74.58
2/26/2014,84.758,73.9071
2/27/2014,#N/A N/A,75.3814
2/28/2014,84.758,75.1771
3/3/2014,84.847,75.3943
3/4/2014,84.847,75.8914
3/5/2014,84.847,76.0514
3/6/2014,84.847,75.8214
3/7/2014,#N/A N/A,75.7771
3/10/2014,84.847,75.8457
3/11/2014,84.967,76.5843
3/12/2014,#N/A N/A,76.6586
3/13/2014,#N/A N/A,75.8071
3/14/2014,#N/A N/A,74.9557
3/17/2014,84.967,75.2486
3/18/2014,84.967,75.9143
3/19/2014,#N/A N/A,75.8943
3/20/2014,84.936,75.5286
3/21/2014,85.039,76.1243
3/24/2014,85.039,77.0271
3/25/2014,#N/A N/A,77.8557
3/26/2014,#N/A N/A,77.1114
3/27/2014,85.039,76.78
3/28/2014,85.039,76.6943
3/31/2014,85.039,76.6771
4/1/2014,#N/A N/A,77.3786
4/2/2014,85.039,77.5071
4/3/2014,85.039,76.97
4/4/2014,85.054,75.9743
4/7/2014,85.054,74.7814
4/8/2014,85.054,74.7771
4/9/2014,85.054,75.76
4/10/2014,85.21,74.7829
4/11/2014,85.296,74.23
4/14/2014,85.296,74.5257
4/15/2014,85.296,73.9943
4/16/2014,85.296,74.1443
4/17/2014,85.296,74.9914
4/21/2014,85.296,75.8814
4/22/2014,85.296,75.957
4/23/2014,85.553,74.9643
4/24/2014,86.568,81.11
4/25/2014,86.568,81.7057
4/28/2014,86.568,84.87
4/29/2014,86.805,84.6186
4/30/2014,87.42,84.2986
5/1/2014,87.42,84.4971
5/2/2014,87.659,84.6543
5/5/2014,87.722,85.8514
5/6/2014,87.722,84.9157
5/7/2014,87.881,84.6186
5/8/2014,87.881,83.9986
5/9/2014,88.119,83.6489
5/12/2014,88.103,84.69
5/13/2014,#N/A N/A,84.8229
5/14/2014,88.246,84.8386
5/15/2014,88.246,84.1171
5/16/2014,88.246,85.3586
5/19/2014,88.246,86.37
5/20/2014,88.246,86.3871
5/21/2014,88.246,86.6157
5/22/2014,#N/A N/A,86.7529
5/23/2014,88.246,87.7329
5/27/2014,88.246,89.3757
5/28/2014,89.014,89.1443
5/29/2014,90.2,90.7686
5/30/2014,90.626,90.4286
6/2/2014,90.812,89.8071
6/3/2014,89.727,91.0771
6/4/2014,89.96,92.1171
6/5/2014,89.96,92.4786
6/6/2014,90.364,92.2243
6/9/2014,92.614,93.7
6/10/2014,93.002,94.25
6/11/2014,94.133,93.86
6/12/2014,94.546,92.29
6/13/2014,94.782,91.28
6/16/2014,94.782,92.2
6/17/2014,95.539,92.08
6/18/2014,95.539,92.18
6/19/2014,95.539,91.86
6/20/2014,95.539,90.91
6/23/2014,95.539,90.83
6/24/2014,97.646,90.28
6/25/2014,97.594,90.36
6/26/2014,97.594,90.9
6/27/2014,97.594,91.98
6/30/2014,97.594,92.93
7/1/2014,98.385,93.52
7/2/2014,98.711,93.48
7/3/2014,99.082,94.03
7/7/2014,99.232,95.968
7/8/2014,99.792,95.35
7/9/2014,100.149,95.39
7/10/2014,100.376,95.035
7/11/2014,100.376,95.22
7/14/2014,100.977,96.45
7/15/2014,101.422,95.32
7/16/2014,101.511,94.78
7/17/2014,101.892,93.0899
7/18/2014,101.892,94.43
7/21/2014,103.425,93.939
7/22/2014,103.621,94.72
7/23/2014,106.214,97.19
7/24/2014,106.214,97.03
7/25/2014,106.214,97.671
7/28/2014,106.214,99.02
7/29/2014,106.301,98.38
7/30/2014,#N/A N/A,98.15
7/31/2014,106.301,95.6
8/1/2014,#N/A N/A,96.13
8/4/2014,106.301,95.59
8/5/2014,106.301,95.12
8/6/2014,106.301,94.96
8/7/2014,106.301,94.48
8/8/2014,106.301,94.74
8/11/2014,106.301,95.99
8/12/2014,#N/A N/A,95.97
8/13/2014,106.301,97.24
8/14/2014,106.301,97.5
8/15/2014,106.301,97.98
8/18/2014,106.301,99.16
8/19/2014,106.422,100.53
8/20/2014,#N/A N/A,100.57
8/21/2014,106.422,100.58
8/22/2014,106.422,101.32
8/25/2014,106.422,101.54
8/26/2014,106.422,100.889
8/27/2014,#N/A N/A,102.13
8/28/2014,106.454,102.25
8/29/2014,#N/A N/A,102.5
